applicant_income,loan_amount,credit_score,existing_debt,employment_years,loan_term,employment_type,education,property_area,self_employed,loan_approved
80287,100513,676.0,48822,10.3,36,Salaried,Postgraduate,Rural,No,0
28869,146414,733.0,112408,9.5,48,Self-employed,High School,Semiurban,Yes,0
160102,157697,551.0,113100,5.4,36,Self-employed,Graduate,Semiurban,Yes,0
83727,21916,821.0,68215,3.3,36,Salaried,High School,Urban,No,1
140790,64230,568.0,114079,10.5,24,Self-employed,Postgraduate,Urban,Yes,0
96788,120120,714.0,52354,9.1,24,Salaried,Graduate,Rural,No,0
90390,131973,,49344,0.0,36,Salaried,High School,Semiurban,No,0
180101,32272,571.0,100380,4.7,36,Salaried,High School,Urban,No,1
41531,57759,779.0,80087,6.7,36,Salaried,Graduate,Rural,Yes,1
153908,92225,628.0,62685,9.1,24,Self-employed,Postgraduate,Urban,Yes,1
155688,129882,721.0,54809,9.6,60,Self-employed,Postgraduate,Semiurban,Yes,1
91498,26945,670.0,84672,7.1,36,Self-employed,Graduate,Urban,Yes,0
70930,100110,641.0,90415,8.3,60,Salaried,Graduate,Rural,No,0
25928,54466,766.0,58870,6.3,24,Salaried,High School,Urban,No,0
188942,42453,630.0,3789,3.3,36,Salaried,Graduate,Urban,No,1
190853,87309,499.0,12220,5.0,48,Self-employed,Graduate,Semiurban,Yes,1
67169,72103,582.0,17298,6.1,36,Salaried,Graduate,Urban,No,0
30584,105356,697.0,55450,5.9,24,Salaried,Graduate,Rural,No,0
46482,57645,684.0,73703,0.0,24,Self-employed,Postgraduate,Semiurban,Yes,0
36837,133491,517.0,96452,4.4,24,Self-employed,High School,Urban,Yes,0
170444,21716,588.0,27906,6.2,36,Salaried,High School,Urban,No,0
181084,139281,601.0,94391,4.9,36,Salaried,High School,Rural,No,0
51824,14475,619.0,79926,5.0,24,Self-employed,High School,Semiurban,Yes,0
155679,120384,533.0,6198,8.0,36,Salaried,High School,Rural,No,0
56371,61971,597.0,42146,1.7,12,Salaried,Graduate,Urban,No,0
89261,67500,588.0,36319,0.0,36,Contract,High School,Rural,No,0
129891,12855,716.0,106397,4.6,48,Salaried,Graduate,Semiurban,No,1
150987,115315,719.0,110543,9.1,24,Salaried,Postgraduate,Semiurban,No,0
178048,34823,638.0,98311,12.8,24,Salaried,,Urban,No,1
32837,108873,617.0,63360,9.1,24,Salaried,Graduate,Urban,No,0
59376,118777,662.0,59140,0.1,12,Salaried,High School,Rural,No,0
74089,136785,581.0,37378,5.1,36,Salaried,High School,Rural,No,0
79306,116213,553.0,92747,7.0,12,,High School,Urban,No,0
199654,55225,570.0,10353,6.7,24,Salaried,Postgraduate,Rural,No,1
161045,120787,596.0,32536,8.2,60,Contract,Postgraduate,Urban,No,0
81073,133892,551.0,16225,,60,,Graduate,Urban,No,0
195069,57572,664.0,59311,6.3,24,Salaried,Graduate,Urban,No,1
112378,28626,712.0,35970,7.7,36,Salaried,Graduate,Urban,No,1
112629,143502,515.0,23697,9.3,36,Self-employed,Graduate,Urban,Yes,1
100897,32190,652.0,45169,2.8,48,Contract,Postgraduate,Urban,No,0
50182,99074,631.0,103306,4.6,48,Contract,High School,Urban,No,0
188515,45442,679.0,66961,0.0,24,Salaried,Graduate,Semiurban,No,0
27438,28903,649.0,98768,3.5,24,Salaried,Graduate,Rural,No,0
55498,126462,526.0,109668,3.9,36,Salaried,High School,Semiurban,No,0
65189,31557,543.0,108257,1.9,60,Self-employed,Graduate,Urban,Yes,0
73877,110533,653.0,42120,6.7,60,Salaried,Postgraduate,Semiurban,No,0
48068,113964,737.0,105297,5.8,24,Salaried,High School,Urban,No,0
28143,19034,462.0,109125,0.0,36,Salaried,Graduate,Semiurban,No,0
143590,35941,679.0,115151,6.9,24,Salaried,Graduate,Semiurban,Yes,0
194629,129154,751.0,42120,2.3,48,Self-employed,High School,Urban,Yes,1
46320,86093,637.0,27400,7.9,60,Salaried,High School,Urban,No,0
76893,28202,697.0,70112,0.9,36,Self-employed,Graduate,Rural,Yes,0
113607,158766,590.0,111818,6.1,12,Self-employed,High School,Rural,Yes,0
187312,49748,640.0,108074,4.9,36,Self-employed,Graduate,Semiurban,Yes,0
146495,10601,512.0,68545,7.2,36,Salaried,Postgraduate,Rural,No,1
159082,148624,451.0,17908,6.5,48,Self-employed,Graduate,Rural,Yes,0
126695,12486,730.0,50699,5.0,36,Self-employed,Postgraduate,Urban,Yes,1
97981,93003,566.0,85694,0.0,60,Salaried,Graduate,Semiurban,No,0
59960,158962,611.0,67244,0.1,24,Salaried,Graduate,Urban,No,0
176255,96671,532.0,41456,3.7,24,Self-employed,Graduate,Semiurban,Yes,0
165721,97695,530.0,41112,6.0,36,Salaried,High School,Urban,No,1
29392,68226,635.0,7169,3.6,12,Salaried,Graduate,Rural,No,0
150196,29036,588.0,34626,8.5,24,Salaried,Graduate,Semiurban,No,1
39767,95903,682.0,80325,4.9,48,Salaried,Graduate,Urban,No,0
154322,144595,688.0,28957,2.1,24,Salaried,Graduate,Urban,Yes,1
169541,23665,677.0,119207,4.9,24,Self-employed,High School,Urban,Yes,1
47935,142057,670.0,9891,6.9,24,Salaried,Postgraduate,Semiurban,No,0
100921,72256,784.0,70652,7.3,12,Self-employed,High School,Rural,Yes,0
46656,90430,559.0,59587,13.5,60,Salaried,Postgraduate,Urban,No,0
124274,34810,645.0,99996,3.3,60,Salaried,Postgraduate,Semiurban,Yes,0
187323,103268,746.0,106531,5.7,12,Salaried,Postgraduate,Semiurban,No,0
39152,37352,757.0,65217,7.7,48,Self-employed,Graduate,Urban,Yes,0
94576,50978,529.0,75618,5.9,48,Contract,High School,Semiurban,No,0
195296,118241,623.0,83874,4.0,60,Salaried,Graduate,Urban,No,1
77666,17577,765.0,62517,0.0,36,Salaried,Graduate,Urban,No,0
48137,77077,693.0,22186,4.0,24,Salaried,Graduate,Urban,No,0
110502,99185,667.0,51431,1.7,36,Salaried,Graduate,Rural,No,0
113965,29804,631.0,28986,0.0,60,Self-employed,High School,Urban,Yes,0
141001,54213,617.0,55728,2.8,48,Salaried,Graduate,Urban,No,0
79904,61525,674.0,73818,1.8,36,Contract,Graduate,Semiurban,No,0
192234,109543,629.0,25113,8.3,24,Salaried,Graduate,Rural,No,0
116178,156506,646.0,29931,8.4,48,Salaried,Postgraduate,Semiurban,No,0
75128,135436,657.0,98752,2.4,60,Self-employed,Graduate,Urban,Yes,0
193049,38464,592.0,45327,5.0,36,Salaried,Graduate,Semiurban,No,1
186841,12724,695.0,23805,0.0,48,Self-employed,Graduate,Urban,Yes,1
112353,17786,850.0,85580,4.0,36,Salaried,Graduate,Semiurban,No,1
29350,99357,499.0,85994,7.6,36,Self-employed,Graduate,Urban,Yes,0
129463,33439,678.0,99139,9.3,36,Salaried,High School,Urban,Yes,1
122159,44692,585.0,91198,3.1,48,,High School,Urban,No,0
50936,137108,699.0,119036,10.2,60,Self-employed,Graduate,Semiurban,Yes,0
135945,141083,654.0,68984,0.0,36,Salaried,,Urban,No,0
172138,135854,715.0,34418,1.0,36,Salaried,Graduate,Urban,No,1
43532,48049,750.0,103551,8.8,36,Self-employed,High School,Semiurban,Yes,0
151581,102952,666.0,31777,12.7,24,Salaried,Graduate,Semiurban,No,1
49559,101615,746.0,34926,8.0,24,Contract,High School,Urban,No,0
156044,37787,451.0,99419,5.8,12,Self-employed,Graduate,Semiurban,Yes,0
98345,93031,785.0,105794,0.0,36,Self-employed,Graduate,Semiurban,Yes,0
26139,88788,682.0,40720,0.0,24,Salaried,Graduate,Urban,No,0
194090,69424,742.0,87529,6.5,36,Salaried,High School,Rural,No,1
54044,122749,546.0,110687,4.6,48,Contract,Postgraduate,Rural,No,0
129307,111643,579.0,95849,1.6,24,Salaried,Graduate,Urban,No,0
56756,89898,662.0,599,6.3,36,Salaried,Graduate,Urban,No,0
188279,118865,649.0,79749,6.5,60,Salaried,Graduate,Urban,No,1
154206,124466,674.0,20386,9.8,36,Salaried,Postgraduate,Urban,No,1
165763,95040,742.0,101561,,24,Salaried,Postgraduate,Semiurban,No,1
100613,50151,500.0,8044,10.9,36,Self-employed,Graduate,Rural,Yes,0
106791,123763,733.0,119171,,36,Self-employed,Graduate,Rural,Yes,1
136002,117642,651.0,21279,5.5,36,Contract,High School,Urban,No,0
162333,157512,633.0,50419,10.3,24,Salaried,Graduate,Urban,No,0
173221,32467,525.0,28090,2.1,36,,Graduate,Urban,No,0
28121,72890,693.0,97669,17.3,36,Salaried,High School,Semiurban,No,0
141123,148634,445.0,47219,7.5,24,Self-employed,Postgraduate,Urban,Yes,0
44100,87187,705.0,89349,7.5,36,Salaried,Postgraduate,Rural,No,1
75388,151393,523.0,8066,8.1,12,Salaried,Graduate,Rural,No,0
170150,11870,655.0,54344,13.5,36,Salaried,Postgraduate,Urban,No,1
68839,15275,640.0,109326,9.2,48,Self-employed,Graduate,Semiurban,Yes,0
164442,129404,,111233,0.0,24,Self-employed,Graduate,Semiurban,Yes,0
106026,63764,635.0,25043,11.6,36,,Postgraduate,Rural,No,1
65712,88034,591.0,47331,4.6,36,Salaried,Graduate,Semiurban,No,0
83492,74201,607.0,49093,6.4,36,Contract,Graduate,Urban,No,0
117884,71194,758.0,67855,0.9,60,Salaried,Graduate,Semiurban,No,0
158900,150921,696.0,64480,8.1,36,Salaried,High School,Urban,Yes,1
131052,24110,617.0,12713,,24,Salaried,Graduate,Semiurban,No,0
188314,125832,630.0,91520,6.4,60,Salaried,Graduate,Urban,No,1
176854,143448,517.0,27093,4.9,48,Salaried,Graduate,Semiurban,No,0
156836,108611,683.0,37792,13.7,48,Salaried,High School,Rural,No,1
130543,69251,500.0,100883,13.9,12,Salaried,High School,Urban,No,0
75724,34002,714.0,82758,6.2,24,Self-employed,Graduate,Urban,Yes,0
97200,112387,661.0,47586,6.3,36,Self-employed,High School,Semiurban,Yes,0
45806,80319,850.0,109496,4.5,24,Self-employed,Graduate,Urban,Yes,0
90482,32406,556.0,47290,10.4,24,Salaried,Graduate,Semiurban,Yes,0
187132,63947,641.0,67859,4.7,48,Salaried,Graduate,Semiurban,No,1
99529,154232,803.0,29517,4.3,24,Self-employed,High School,Urban,Yes,0
44902,49807,751.0,21983,9.9,12,Salaried,Postgraduate,Rural,No,1
139087,36766,591.0,58993,3.8,12,Salaried,Graduate,Semiurban,No,1
193457,112296,669.0,67562,5.8,36,Salaried,Graduate,Semiurban,No,1
176810,39931,650.0,96698,0.0,36,Self-employed,Graduate,Urban,Yes,1
72963,147986,674.0,46908,8.8,60,Salaried,Graduate,Urban,No,0
104431,138847,591.0,107419,13.8,24,Self-employed,Graduate,Urban,Yes,0
117927,157529,642.0,72886,8.9,24,Salaried,Graduate,Rural,No,0
68371,146887,514.0,8413,11.8,36,Salaried,Graduate,Rural,No,0
72021,46564,661.0,88692,2.6,36,Salaried,Postgraduate,Rural,No,0
66415,41822,688.0,68978,6.9,36,Salaried,Graduate,Urban,No,0
199051,61395,631.0,46722,2.2,60,Salaried,Postgraduate,Semiurban,No,1
155552,80470,513.0,56072,5.1,36,Self-employed,Graduate,Semiurban,Yes,1
172149,141999,734.0,36214,9.1,36,Salaried,Postgraduate,Semiurban,No,1
167899,120024,681.0,73713,6.4,60,Salaried,Postgraduate,Urban,No,1
192850,106665,588.0,68034,0.3,12,Self-employed,High School,Rural,Yes,1
43423,141754,626.0,53673,0.7,60,Salaried,High School,Urban,No,0
179285,106883,522.0,34223,0.5,36,Salaried,Graduate,Urban,No,0
36647,66857,563.0,47837,8.0,36,Salaried,Graduate,Rural,No,0
108198,71950,604.0,59740,14.3,60,Salaried,Graduate,Semiurban,No,1
129025,87552,754.0,56625,11.4,36,Salaried,Graduate,Urban,No,0
87625,23315,596.0,37115,0.0,36,Self-employed,Postgraduate,Semiurban,Yes,0
50580,121257,704.0,69839,11.7,24,Salaried,Graduate,Rural,No,0
58652,107916,604.0,27185,9.7,48,Self-employed,Graduate,Urban,Yes,0
169316,119670,671.0,60117,0.0,36,Salaried,High School,Semiurban,No,1
80776,90091,638.0,14585,4.8,24,Self-employed,Graduate,Urban,Yes,1
79308,127444,724.0,56657,10.4,48,Self-employed,High School,Urban,Yes,0
186588,152462,605.0,94077,8.2,36,Salaried,Graduate,Urban,No,0
50177,95490,516.0,98140,0.8,36,Salaried,Graduate,Semiurban,No,0
185171,76657,533.0,83363,8.4,12,Salaried,Graduate,Urban,No,0
186169,25692,605.0,89477,0.0,36,Contract,Graduate,Urban,No,1
129747,126801,544.0,7913,5.1,12,Contract,Graduate,Semiurban,No,0
53968,145595,685.0,40965,10.6,12,,High School,Semiurban,No,0
52275,114923,610.0,78510,6.1,36,Self-employed,High School,Semiurban,Yes,0
74826,139835,850.0,96069,4.0,12,Salaried,Postgraduate,Rural,No,0
126047,139179,502.0,69941,9.6,24,Salaried,Postgraduate,Urban,No,0
51882,129714,667.0,102438,9.9,48,Self-employed,Graduate,Urban,Yes,0
104740,85432,554.0,32767,11.2,36,Salaried,Graduate,Semiurban,No,0
45210,24979,608.0,18419,9.5,60,Salaried,Graduate,Semiurban,No,0
119549,10486,662.0,10365,10.3,60,Self-employed,Graduate,Urban,Yes,1
28700,40659,452.0,69921,8.9,36,Salaried,Graduate,Urban,No,0
149081,74653,670.0,79822,7.1,60,Self-employed,High School,Urban,Yes,1
34694,121540,812.0,34237,6.4,60,Salaried,Graduate,Urban,No,0
59093,78371,611.0,94038,5.1,36,Salaried,Graduate,Rural,No,0
55562,13471,672.0,88700,1.2,48,Salaried,Graduate,Semiurban,No,0
170423,41551,737.0,43216,2.2,24,Contract,High School,Urban,No,0
34341,156883,636.0,28654,4.9,48,Salaried,Graduate,Semiurban,No,0
100120,158203,601.0,89078,7.0,36,Salaried,Graduate,Semiurban,No,0
128450,66571,457.0,80568,11.8,12,Self-employed,Graduate,Urban,Yes,0
115299,130747,704.0,20494,5.8,24,Contract,Graduate,Urban,No,1
144125,117896,640.0,30614,10.0,60,Contract,Graduate,Semiurban,No,0
165542,149690,564.0,58316,10.3,36,Salaried,Graduate,Urban,No,1
93885,143135,,61337,5.1,24,Salaried,Postgraduate,Semiurban,No,0
169938,104311,600.0,19915,8.4,24,Salaried,High School,Semiurban,No,0
80648,69194,605.0,113837,5.0,36,Self-employed,Postgraduate,Semiurban,Yes,0
197273,103998,702.0,46637,11.3,48,Contract,Graduate,Rural,No,1
113292,57869,536.0,45756,8.5,48,Self-employed,Graduate,Semiurban,Yes,0
153802,62213,739.0,7263,1.2,36,Salaried,Graduate,Semiurban,No,0
178125,101311,531.0,105088,6.6,24,Salaried,Graduate,Urban,No,0
163713,95709,594.0,28217,12.6,12,Salaried,High School,Semiurban,No,0
173948,97148,813.0,118433,5.3,36,Salaried,Postgraduate,Rural,No,1
118889,67701,746.0,59522,7.8,48,Salaried,Graduate,Rural,No,1
32608,71370,658.0,104982,8.2,48,Salaried,Graduate,Rural,No,0
111289,11528,570.0,21494,1.9,36,Self-employed,Graduate,Urban,Yes,0
56762,100266,605.0,19903,,36,Contract,High School,Semiurban,No,0
180595,96367,656.0,96133,0.4,36,Self-employed,High School,Rural,Yes,0
66430,150307,653.0,98358,3.5,36,Contract,Graduate,Semiurban,No,0
64912,85641,642.0,65171,10.3,36,Self-employed,Graduate,Semiurban,Yes,0
68642,80146,647.0,3857,7.4,48,Self-employed,Graduate,Semiurban,Yes,1
137449,20152,632.0,113246,4.8,36,Salaried,Graduate,Semiurban,No,0
124965,39511,527.0,47196,7.8,60,Self-employed,Graduate,Urban,Yes,0
191047,60705,606.0,112318,5.8,36,Salaried,Postgraduate,Urban,No,1
97845,66580,728.0,104488,6.1,12,Salaried,High School,Rural,No,1
74398,64402,534.0,102178,8.6,24,Salaried,Graduate,Rural,No,0
33619,69116,634.0,82650,3.1,36,Self-employed,Graduate,Rural,Yes,0
26238,125337,580.0,80790,6.2,36,Self-employed,Graduate,Urban,Yes,0
90382,29666,659.0,63928,4.8,36,Contract,High School,Urban,No,0
187018,59838,617.0,2973,0.0,48,Contract,High School,Urban,No,1
116656,34430,776.0,46543,2.3,24,Contract,,Rural,No,1
181370,56169,693.0,87664,12.3,48,Salaried,Graduate,Semiurban,No,1
42792,112684,538.0,97475,7.5,48,Contract,High School,Rural,No,0
41331,17014,707.0,67147,0.7,36,Self-employed,Graduate,Urban,Yes,0
170855,60921,584.0,85147,0.0,36,Contract,High School,Semiurban,No,0
43679,13552,601.0,2609,5.6,24,Salaried,High School,Semiurban,No,0
34093,153234,677.0,56208,12.2,36,Salaried,Graduate,Urban,No,0
95716,119088,608.0,60927,5.3,48,Contract,High School,Rural,No,0
186847,46539,726.0,107098,11.2,60,Salaried,Postgraduate,Semiurban,No,1
145642,39729,584.0,37326,7.4,36,Salaried,Graduate,Urban,No,0
42344,24838,597.0,27593,7.9,24,Salaried,High School,Urban,Yes,0
171497,80931,594.0,42285,0.7,48,Salaried,High School,Rural,No,0
172625,123025,602.0,20446,9.8,48,Salaried,Graduate,Semiurban,No,0
165121,97631,743.0,67010,4.7,36,,,Semiurban,No,0
182964,142155,703.0,77136,9.5,48,Contract,,Semiurban,No,1
66978,61572,795.0,96134,2.7,12,Contract,Graduate,Urban,No,0
196424,51717,843.0,116639,6.7,12,Salaried,Graduate,Semiurban,No,1
81121,81707,562.0,8832,7.4,24,Salaried,Graduate,Rural,No,0
165354,40313,656.0,29670,5.4,24,Salaried,,Urban,No,1
126388,156346,550.0,36085,7.6,60,Salaried,Graduate,Semiurban,No,0
161408,37864,584.0,29960,4.9,36,Salaried,Graduate,Urban,No,1
134868,81830,596.0,99273,3.4,24,Self-employed,Graduate,Urban,Yes,1
137434,88301,560.0,16739,12.4,36,Contract,Postgraduate,Urban,No,1
132849,18556,561.0,3568,10.2,36,Salaried,Graduate,Rural,No,1
161324,80262,638.0,103267,3.0,36,Salaried,Postgraduate,Urban,No,0
154332,78205,547.0,115382,8.3,24,Salaried,Postgraduate,Urban,No,0
48546,48915,722.0,27167,,48,Salaried,High School,Semiurban,No,0
169559,29195,572.0,39942,1.3,24,Salaried,Graduate,Urban,No,0
118811,16775,850.0,60381,10.1,48,Salaried,Graduate,Semiurban,No,1
81539,11287,612.0,63113,0.0,24,Salaried,Graduate,Rural,No,0
114989,82223,656.0,118904,9.7,48,Salaried,Graduate,Urban,No,0
194222,23476,540.0,48498,5.0,48,Self-employed,Postgraduate,Urban,Yes,0
175075,153899,795.0,1456,5.2,24,Salaried,,Rural,No,1
170897,46712,745.0,50730,7.6,12,Salaried,Graduate,Urban,No,1
105989,107877,675.0,66778,8.3,60,Salaried,High School,Urban,No,0
162224,111023,536.0,62026,2.7,36,Salaried,Graduate,Rural,No,0
92390,84325,668.0,61474,8.9,36,Salaried,Postgraduate,Rural,No,0
145078,142541,555.0,110713,6.5,12,Self-employed,Graduate,Semiurban,Yes,0
136923,26603,,96893,1.0,24,Contract,High School,Semiurban,No,1
68714,45104,719.0,30204,,36,Self-employed,Postgraduate,Rural,Yes,0
71631,47865,658.0,42633,11.5,60,Salaried,Postgraduate,Semiurban,No,1
35698,30312,443.0,80109,12.7,24,Salaried,Graduate,Semiurban,No,0
49459,54216,566.0,49240,8.9,48,Salaried,High School,Rural,No,0
100883,56903,708.0,51408,1.2,48,Salaried,Graduate,Semiurban,No,0
108628,124720,753.0,20152,8.0,24,Contract,High School,Semiurban,No,1
53896,55243,744.0,30524,9.4,24,Salaried,Graduate,Urban,Yes,1
97955,141506,515.0,88897,8.9,24,,Graduate,Semiurban,Yes,0
130731,125901,676.0,101151,9.1,36,Salaried,Postgraduate,Semiurban,No,1
65699,145246,736.0,94165,7.5,36,Salaried,Graduate,Urban,No,0
84191,25783,509.0,36940,5.7,36,Contract,Postgraduate,Urban,No,0
89314,157685,649.0,16399,3.6,24,Salaried,Postgraduate,Rural,Yes,0
113384,102094,673.0,19163,0.0,48,Salaried,High School,Urban,No,0
89118,157355,624.0,47214,7.4,36,Salaried,High School,Urban,No,0
153965,63226,493.0,62130,6.7,36,Self-employed,Graduate,Urban,Yes,0
82311,152949,622.0,107148,8.2,36,Salaried,Graduate,Urban,No,0
100931,98290,622.0,107859,0.6,24,Self-employed,Graduate,Semiurban,Yes,0
91406,20773,637.0,324,8.6,48,Salaried,Graduate,Urban,No,1
57010,71518,602.0,84907,14.2,36,Salaried,Graduate,Urban,No,0
145005,30669,612.0,35851,6.3,36,Contract,Graduate,Rural,No,1
66203,151191,647.0,23736,5.8,24,Salaried,Graduate,Urban,No,1
76953,55669,688.0,66605,7.2,36,Salaried,High School,Urban,No,1
163731,43354,624.0,4069,14.1,36,Salaried,High School,Rural,Yes,1
191050,92934,615.0,40091,1.9,36,Salaried,High School,Semiurban,No,0
142397,73774,658.0,66266,6.8,60,Salaried,Postgraduate,Semiurban,No,1
185360,24546,487.0,32645,2.8,48,Self-employed,Postgraduate,Rural,Yes,0
174483,132474,691.0,71207,3.8,24,Salaried,Graduate,Rural,No,0
109159,136869,650.0,55204,5.8,48,Salaried,High School,Urban,No,0
159800,121444,653.0,95928,11.4,36,Salaried,Graduate,Semiurban,No,0
82463,102513,732.0,21782,13.2,60,Self-employed,High School,Semiurban,Yes,1
105586,70383,484.0,6852,7.8,24,Salaried,Graduate,Urban,No,0
118701,91354,482.0,63555,4.5,24,Salaried,Graduate,Rural,No,0
193086,88149,673.0,30827,16.0,36,Self-employed,Postgraduate,Urban,Yes,1
173498,34796,649.0,84803,4.3,24,Self-employed,High School,Rural,Yes,1
110619,22271,664.0,11194,3.7,48,Contract,Graduate,Semiurban,No,0
139202,47988,611.0,69035,0.0,36,Salaried,Postgraduate,Semiurban,No,0
60412,78150,706.0,118780,11.6,24,Salaried,Graduate,Urban,No,0
165768,34046,729.0,11173,9.9,36,Salaried,High School,Rural,No,1
121781,26000,691.0,36218,15.7,60,Self-employed,Postgraduate,Semiurban,Yes,1
118226,137789,628.0,101329,0.4,48,Salaried,Graduate,Urban,No,0
159099,66249,471.0,64027,11.8,36,Salaried,Graduate,Urban,No,0
135760,97634,715.0,20997,6.3,24,Salaried,Graduate,Semiurban,No,1
37681,88604,754.0,25575,9.2,24,Self-employed,Postgraduate,Urban,Yes,1
75427,120269,705.0,91777,0.0,60,Self-employed,Graduate,Semiurban,Yes,0
55925,120971,575.0,103307,11.9,48,Salaried,Graduate,Semiurban,No,0
153606,54404,707.0,43267,9.1,36,Contract,Graduate,Urban,No,1
31150,137186,723.0,56859,5.8,60,Contract,High School,Semiurban,No,0
60420,65687,782.0,93931,8.6,24,,Graduate,Urban,No,0
129552,135280,576.0,21231,2.9,48,,High School,Rural,No,0
146589,70728,631.0,24752,3.7,24,Self-employed,Graduate,Rural,Yes,0
113078,26649,714.0,92931,4.1,24,Salaried,Graduate,Urban,No,0
175625,124002,655.0,22399,0.0,36,Salaried,Graduate,Semiurban,No,0
185814,14524,555.0,92497,9.4,36,Salaried,Graduate,Semiurban,No,0
48117,125852,685.0,59643,10.8,60,Contract,Graduate,Rural,No,0
191689,16474,699.0,118804,3.2,36,Salaried,Graduate,Urban,No,1
132516,41022,657.0,3952,7.4,48,Self-employed,High School,Semiurban,Yes,1
136338,100504,669.0,113514,4.9,48,Salaried,Postgraduate,Rural,No,1
41641,151230,628.0,27035,7.3,48,Salaried,Postgraduate,Urban,No,0
133827,71271,,4209,3.5,60,Contract,Graduate,Semiurban,No,1
152000,28098,573.0,86881,2.5,36,Salaried,Graduate,Urban,No,1
126638,44936,600.0,63903,10.2,36,Salaried,High School,Semiurban,No,0
39786,144418,651.0,100486,5.7,24,,High School,Urban,Yes,0
116564,119010,725.0,13002,14.1,24,,Graduate,Rural,Yes,0
188789,25059,523.0,9694,6.2,60,Salaried,Postgraduate,Urban,No,0
151597,67734,539.0,68069,2.3,36,Salaried,Graduate,Urban,No,0
49046,49680,477.0,105849,10.9,36,Salaried,Graduate,Rural,No,0
192989,36674,653.0,48691,8.5,24,Salaried,Postgraduate,Rural,No,1
192804,136971,555.0,95702,8.9,36,Salaried,Graduate,Semiurban,No,0
54644,102656,617.0,108745,10.8,48,,,Semiurban,No,0
165154,36923,706.0,104362,3.4,24,Salaried,Graduate,Urban,No,1
96175,107604,595.0,61040,5.5,48,Salaried,High School,Semiurban,No,0
128894,72035,670.0,83811,5.3,36,Self-employed,Postgraduate,Urban,Yes,1
102907,19221,625.0,63079,0.8,48,Self-employed,Graduate,Urban,Yes,0
161959,77478,707.0,80898,4.9,24,Salaried,Graduate,Rural,No,1
199415,37784,690.0,68050,11.3,36,Salaried,Graduate,Semiurban,No,1
164145,46788,591.0,63011,6.9,24,Salaried,Postgraduate,Urban,No,1
187990,141849,636.0,52416,0.6,36,Contract,Graduate,Urban,No,1
190554,116536,739.0,78334,0.0,48,Salaried,Graduate,Rural,No,0
40768,30113,683.0,90131,12.7,36,Salaried,High School,Urban,No,0
69342,137700,531.0,110293,5.6,24,Salaried,Postgraduate,Urban,No,0
151324,96146,706.0,73587,3.4,60,Salaried,Graduate,Urban,No,1
128263,141186,558.0,12062,4.9,12,Salaried,Graduate,Urban,No,0
33775,122061,770.0,70497,0.1,36,Salaried,Postgraduate,Urban,No,0
41633,60898,737.0,37891,11.7,60,Self-employed,High School,Rural,Yes,0
116095,90230,675.0,3217,4.4,36,Self-employed,Graduate,Urban,Yes,1
132828,89627,663.0,8694,11.5,48,Self-employed,Graduate,Semiurban,Yes,0
54350,117991,632.0,70956,6.2,36,Self-employed,,Semiurban,Yes,0
54975,47260,708.0,113376,11.7,48,Salaried,Graduate,Semiurban,No,0
47634,59963,618.0,60668,7.0,48,Contract,,Semiurban,No,0
123866,46719,670.0,53431,9.4,48,Self-employed,High School,Semiurban,Yes,1
26374,54421,724.0,10639,,24,Self-employed,High School,Semiurban,Yes,1
125175,34188,,81041,8.5,48,Self-employed,High School,Semiurban,Yes,1
108287,15481,598.0,6656,7.4,24,Salaried,Postgraduate,Semiurban,No,0
106547,151002,548.0,100934,5.1,60,Salaried,Graduate,Semiurban,No,0
143873,21147,560.0,97968,13.7,24,Salaried,Graduate,Semiurban,No,0
116460,143198,495.0,118920,2.4,24,Salaried,Graduate,Urban,No,0
152356,10461,712.0,34113,6.0,60,Salaried,Graduate,Semiurban,No,1
158686,126603,804.0,19413,6.1,24,Salaried,High School,Semiurban,No,1
186020,59260,771.0,35944,7.6,36,Salaried,Graduate,Urban,No,1
164867,87649,512.0,95941,4.3,48,Contract,Graduate,Rural,No,0
115598,52333,712.0,26258,7.3,24,Self-employed,Graduate,Urban,Yes,1
111126,83591,771.0,106490,5.3,24,Salaried,Graduate,Urban,No,0
66249,77734,611.0,18502,0.0,36,Salaried,Postgraduate,Rural,No,1
129928,89461,659.0,5865,6.0,24,Salaried,Postgraduate,Urban,No,1
49348,68992,479.0,26322,1.6,24,Contract,High School,Urban,No,0
187966,90485,673.0,90490,0.0,12,Self-employed,High School,Urban,Yes,0
172882,133818,560.0,72273,6.5,36,Self-employed,High School,Rural,Yes,0
45953,75184,667.0,42567,8.0,36,Salaried,Graduate,Semiurban,No,0
162542,64206,517.0,78724,8.1,12,Salaried,Postgraduate,Semiurban,No,0
45493,29763,696.0,77831,8.3,36,Self-employed,Postgraduate,Semiurban,Yes,0
151214,63957,737.0,66566,0.0,36,Contract,Graduate,Semiurban,No,1
40349,28849,583.0,61685,0.6,12,Salaried,Postgraduate,Rural,No,0
110433,37375,553.0,12179,13.9,36,Salaried,Graduate,Rural,No,0
140126,152837,467.0,31169,1.8,60,Salaried,Postgraduate,Urban,No,0
152541,23412,627.0,63323,8.4,36,Salaried,Graduate,Rural,No,0
98256,82304,601.0,16226,3.3,36,Contract,High School,Semiurban,No,0
186284,135145,518.0,57100,6.3,36,Self-employed,High School,Urban,Yes,0
160506,152980,689.0,14033,3.5,24,Salaried,Postgraduate,Urban,No,1
